id,fromUser,fromUserId,desired_username,LanguageCode,source,text,createdAt,req_username
130197,zlatrad,806626002,Elsi Herbig,vietnamese,&lta href=&quothttp//dlvr.it&quot&gtdlvr.it&lt/a&gt,Superstorm Sandy xuo,23-Oct-12,els
130198,nhhuyjnh,803932573,Fae Reuther,vietnamese,&lta href=&quothttp//dlvr.it&quot&gtdlvr.it&lt/a&gt,Superstorm Sandy xuo,22-Oct-12,fae
130199,rospecwbno,804119090,Freeland Reves,vietnamese,&lta href=&quothttp//dlvr.it&quot&gtdlvr.it&lt/a&gt,Superstorm Sandy xuo,13-Oct-12,fre
130200,idelajempa,629228788,Ehr Toupin,vietnamese,&lta href=&quothttp//dlvr.it&quot&gtdlvr.it&lt/a&gt,Superstorm Sandy xuo,10-Oct-12,ehr
130201,obrevmkino,633422134,Sigismundo Valencia,vietnamese,&lta href=&quothttp//dlvr.it&quot&gtdlvr.it&lt/a&gt,Superstorm Sandy xuo,30-Oct-12,sig
130204,sodlaz,806133224,McDermott Mangan,vietnamese,&lta href=&quothttp//dlvr.it&quot&gtdlvr.it&lt/a&gt,Superstorm Sandy xuo,23-Oct-12,mcd
130205,jowektzyle,635687286,Byrle Berns,vietnamese,&lta href=&quothttp//dlvr.it&quot&gtdlvr.it&lt/a&gt,Superstorm Sandy xuo,08-Oct-12,byr
130206,lwoderho,805905042,Robina Currington,vietnamese,&lta href=&quothttp//dlvr.it&quot&gtdlvr.it&lt/a&gt,Superstorm Sandy xuo,23-Oct-12,rob
130207,almewcfu,702187874,Scales Mclain,vietnamese,&lta href=&quothttp//dlvr.it&quot&gtdlvr.it&lt/a&gt,Superstorm Sandy xuo,23-Oct-12,sca
130208,endorasdil,806089879,Corron Bester,vietnamese,&lta href=&quothttp//dlvr.it&quot&gtdlvr.it&lt/a&gt,Superstorm Sandy xuo,13-Oct-12,cor
130209,linraighpr,632660171,Jablon Louk,vietnamese,&lta href=&quothttp//dlvr.it&quot&gtdlvr.it&lt/a&gt,Superstorm Sandy xuo,30-Oct-12,jab
130210,afther7,808105478,Gaspar Mater,vietnamese,&lta href=&quothttp//dlvr.it&quot&gtdlvr.it&lt/a&gt,Superstorm Sandy xuo,25-Oct-12,gas
